epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.846022,4.89078,6.11632,3.94709,0,0,0,0,4.08212,6.3986,2.7959,0,0,0
2,1.73181,4.41337,4.9416,3.09971,0,0,0,0,4.02679,5.72776,2.76033,1.23763e-05,1.23763e-05,1.23763e-05
3,2.55175,4.29406,5.90383,2.83744,0,0,0,0,3.99909,5.6428,2.76485,2.4505e-05,2.4505e-05,2.4505e-05
4,3.40185,3.86893,5.22495,2.82679,0,0,0,0,3.9357,6.14539,2.79154,3.63862e-05,3.63862e-05,3.63862e-05
5,4.23464,3.40149,4.4108,2.70369,0,0,0,0,4.01854,6.35622,2.91965,4.802e-05,4.802e-05,4.802e-05
6,4.98273,4.28184,5.188,2.84314,0.00513,0.33333,0.00535,0.00053,3.9429,6.36629,2.99609,5.94062e-05,5.94062e-05,5.94062e-05
7,5.69371,4.03149,5.89145,2.9468,0.00483,0.33333,0.00562,0.00056,4.00814,5.87696,3.01452,7.0545e-05,7.0545e-05,7.0545e-05
8,6.4445,3.84008,4.5217,2.66988,0.0045,0.33333,0.00572,0.00057,4.03334,5.12744,2.88003,8.14362e-05,8.14362e-05,8.14362e-05
9,7.32791,3.61326,5.05683,2.44833,0.00439,0.33333,0.00603,0.00121,3.94608,5.23934,2.84753,9.208e-05,9.208e-05,9.208e-05
10,8.37218,3.44188,4.73762,2.64686,0.00407,0.33333,0.00582,0.00175,4.14002,5.70892,2.99355,0.000102476,0.000102476,0.000102476
11,9.3864,0,12.0771,0,0.00383,0.33333,0.00481,0.00096,4.25278,5.82837,3.08125,0.000112625,0.000112625,0.000112625
12,10.5117,3.58301,4.9039,2.36763,0,0,0,0,4.23803,5.83118,2.93819,0.000122526,0.000122526,0.000122526
13,11.9277,3.18543,5.81743,2.48067,0,0,0,0,4.16479,5.70931,2.8147,0.00013218,0.00013218,0.00013218
14,12.8679,3.12277,4.75721,2.43087,0,0,0,0,3.64045,6.27116,2.51742,0.000141586,0.000141586,0.000141586
15,13.771,2.79061,4.39358,2.02708,0.00258,0.33333,0.00296,0.00059,3.50693,5.40506,2.28481,0.000150745,0.000150745,0.000150745
16,14.6254,3.14647,4.28883,2.42318,0.00247,0.33333,0.00338,0.00068,3.54502,5.03979,2.20638,0.000159656,0.000159656,0.000159656
17,15.5573,3.07158,4.4111,2.10577,0.00254,0.33333,0.00404,0.00081,2.99495,5.4275,1.99952,0.00016832,0.00016832,0.00016832
18,16.4874,2.42614,4.08883,2.00082,0.00254,0.33333,0.00404,0.00081,2.99495,5.4275,1.99952,0.000176736,0.000176736,0.000176736
19,17.4955,2.4867,4.53004,2.00451,0.0024,0.33333,0.01005,0.00101,3.03675,5.25815,2.04466,0.000184905,0.000184905,0.000184905
20,18.3761,2.53241,4.22095,1.91772,0.0024,0.33333,0.01005,0.00101,3.03675,5.25815,2.04466,0.000192826,0.000192826,0.000192826
21,19.298,3.24941,4.23274,2.0749,0.00242,0.33333,0.03317,0.00663,2.92756,5.09223,1.94851,0.0002005,0.0002005,0.0002005
22,20.1804,2.71657,4.26448,1.7806,0.00242,0.33333,0.03317,0.00663,2.92756,5.09223,1.94851,0.000207926,0.000207926,0.000207926
23,21.2628,1.99997,4.11703,1.72025,0.00271,0.33333,0.04146,0.01244,2.38041,5.27395,1.71489,0.000215105,0.000215105,0.000215105
24,22.1202,1.80184,4.00345,1.55028,0.00271,0.33333,0.04146,0.01244,2.38041,5.27395,1.71489,0.000222036,0.000222036,0.000222036
25,23.0549,1.48608,3.82427,1.46069,0.003,0.33333,0.06633,0.02628,2.5775,4.55864,1.60933,0.00022872,0.00022872,0.00022872
26,23.9339,2.40956,4.58936,1.53111,0.003,0.33333,0.06633,0.02628,2.5775,4.55864,1.60933,0.000235156,0.000235156,0.000235156
27,24.9078,1.66071,3.64409,1.53867,0.00417,0.33333,0.11056,0.06633,2.35694,4.54685,1.52944,0.000241345,0.000241345,0.000241345
