epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,26.051,1.76752,3.51574,1.57152,0.00417,0.33333,0.11056,0.06633,2.35694,4.54685,1.52944,0.000247286,0.000247286,0.000247286
29,27.1379,2.44148,3.91484,1.75279,0.00575,0.33333,0.16583,0.08844,2.30468,4.39284,1.46585,0.00025298,0.00025298,0.00025298
30,28.1846,1.98468,3.34754,1.5669,0.00575,0.33333,0.16583,0.08844,2.30468,4.39284,1.46585,0.000258426,0.000258426,0.000258426
31,29.2539,1.7591,3.34999,1.54208,0.00775,0.33333,0.33167,0.16583,2.09831,4.45397,1.52715,0.000263625,0.000263625,0.000263625
32,30.0906,2.13783,3.61813,1.63705,0.00775,0.33333,0.33167,0.16583,2.09831,4.45397,1.52715,0.000268576,0.000268576,0.000268576
33,30.9781,1.22388,2.95792,1.25456,0.0098,0.33333,0.33167,0.16583,2.32057,4.21973,1.93338,0.00027328,0.00027328,0.00027328
34,31.8114,2.22933,3.28654,1.54663,0.0098,0.33333,0.33167,0.16583,2.32057,4.21973,1.93338,0.000277736,0.000277736,0.000277736
35,32.7166,2.35444,3.40033,1.77683,0.01416,0.66667,0.66333,0.28192,2.20401,4.00655,2.22436,0.000281945,0.000281945,0.000281945
36,33.4987,0,13.2968,0,0.01416,0.66667,0.66333,0.28192,2.20401,4.00655,2.22436,0.000285906,0.000285906,0.000285906
37,34.4033,2.24726,3.64537,1.59094,0.01648,0.66667,0.66333,0.36483,1.94424,3.79379,1.86322,0.00028962,0.00028962,0.00028962
38,35.2262,1.7127,2.24548,1.6798,0.01648,0.66667,0.66333,0.36483,1.94424,3.79379,1.86322,0.000293086,0.000293086,0.000293086
39,36.0579,0,13.1589,0,0.02876,0.66667,0.66333,0.36483,1.64594,3.91453,1.52364,0.000296305,0.000296305,0.000296305
40,36.861,1.53649,2.36209,1.52667,0.02876,0.66667,0.66333,0.36483,1.64594,3.91453,1.52364,0.000299276,0.000299276,0.000299276
41,37.9135,1.99936,3.47637,1.5324,0.01282,0.33333,0.33167,0.23217,1.50502,3.99756,1.41408,0.000302,0.000302,0.000302
42,39.6074,1.40569,2.65297,1.34352,0.01282,0.33333,0.33167,0.23217,1.50502,3.99756,1.41408,0.000304476,0.000304476,0.000304476
43,41.1994,0,12.7202,0,0.00813,0.33333,0.33167,0.2985,1.40885,3.973,1.30435,0.000306705,0.000306705,0.000306705
44,42.2047,1.26589,2.79942,1.13169,0.00813,0.33333,0.33167,0.2985,1.40885,3.973,1.30435,0.000308686,0.000308686,0.000308686
45,43.3099,1.93521,2.97497,1.37394,0.00741,0.33333,0.33167,0.23217,1.18729,3.99758,1.28877,0.00031042,0.00031042,0.00031042
46,44.3563,1.5839,2.63431,1.33499,0.00741,0.33333,0.33167,0.23217,1.18729,3.99758,1.28877,0.000311906,0.000311906,0.000311906
47,45.3211,2.14617,3.89288,1.46674,0.00775,0.33333,0.33167,0.16583,1.46032,4.06577,1.36805,0.000313145,0.000313145,0.000313145
48,46.2532,1.95164,2.26478,1.58567,0.00775,0.33333,0.33167,0.16583,1.46032,4.06577,1.36805,0.000314136,0.000314136,0.000314136
49,48.0228,1.86798,3.09823,1.28239,0.0098,0.33333,0.33167,0.26533,1.36083,3.80382,1.2628,0.00031488,0.00031488,0.00031488
50,49.0038,2.11648,2.82771,2.02751,0.0098,0.33333,0.33167,0.26533,1.36083,3.80382,1.2628,0.000315376,0.000315376,0.000315376
51,50.0011,1.85632,3.34696,1.38676,0.00813,0.33333,0.33167,0.26533,1.41305,3.63547,1.27496,0.000315625,0.000315625,0.000315625
52,50.8961,1.65961,5.24259,1.5514,0.00813,0.33333,0.33167,0.26533,1.41305,3.63547,1.27496,0.000315626,0.000315626,0.000315626
53,51.8669,1.59493,2.60325,1.15709,0.00813,0.33333,0.33167,0.26533,1.41305,3.63547,1.27496,0.00031538,0.00031538,0.00031538
54,52.9722,1.82546,3.04315,1.33131,0.00741,0.33333,0.33167,0.26533,1.40169,3.46223,1.29772,0.000314886,0.000314886,0.000314886
55,53.8569,1.18994,2.22287,1.29627,0.00741,0.33333,0.33167,0.26533,1.40169,3.46223,1.29772,0.000314145,0.000314145,0.000314145
56,55.5616,1.74205,2.45803,1.131,0.00741,0.33333,0.33167,0.26533,1.40169,3.46223,1.29772,0.000313156,0.000313156,0.000313156
57,56.6159,1.43573,1.93677,1.06962,0.92374,0.33333,0.4975,0.34825,1.34266,3.26062,1.28019,0.00031192,0.00031192,0.00031192
58,57.5338,1.84142,2.21114,1.52555,0.92374,0.33333,0.4975,0.34825,1.34266,3.26062,1.28019,0.000310436,0.000310436,0.000310436
59,58.4681,1.24457,2.1961,1.23755,0.92374,0.33333,0.4975,0.34825,1.34266,3.26062,1.28019,0.000308705,0.000308705,0.000308705
60,59.461,2.09444,2.6273,1.18885,0.95736,0.33333,0.66333,0.47539,1.23341,3.26391,1.22518,0.000306726,0.000306726,0.000306726
61,60.3341,1.46752,2.65571,1.22876,0.95736,0.33333,0.66333,0.47539,1.23341,3.26391,1.22518,0.0003045,0.0003045,0.0003045
62,61.1721,1.93133,2.255,1.91976,0.95736,0.33333,0.66333,0.47539,1.23341,3.26391,1.22518,0.000302026,0.000302026,0.000302026
63,62.0561,1.73518,2.77432,1.31074,0.96614,0.33333,0.66333,0.398,1.04894,3.25582,1.08775,0.000299305,0.000299305,0.000299305
64,62.8871,1.39827,2.028,1.13592,0.96614,0.33333,0.66333,0.398,1.04894,3.25582,1.08775,0.000296336,0.000296336,0.000296336
65,63.7122,1.53038,1.98006,1.1428,0.96614,0.33333,0.66333,0.398,1.04894,3.25582,1.08775,0.00029312,0.00029312,0.00029312
66,64.6839,1.6318,2.12063,1.79752,0.97232,0.33333,0.66333,0.43946,0.95047,3.27498,1.08474,0.000289656,0.000289656,0.000289656
67,65.5686,1.63603,1.79948,1.19266,0.97232,0.33333,0.66333,0.43946,0.95047,3.27498,1.08474,0.000285945,0.000285945,0.000285945
68,66.4439,1.27584,1.69178,1.09227,0.97232,0.33333,0.66333,0.43946,0.95047,3.27498,1.08474,0.000281986,0.000281986,0.000281986
69,67.3655,1.10872,2.19052,1.17906,0.9722,0.33333,0.66333,0.40629,1.01562,3.1156,1.05991,0.00027778,0.00027778,0.00027778
70,68.2322,1.86198,5.26037,2.02672,0.9722,0.33333,0.66333,0.40629,1.01562,3.1156,1.05991,0.000273326,0.000273326,0.000273326
71,69.0569,0,13.4591,0,0.9722,0.33333,0.66333,0.40629,1.01562,3.1156,1.05991,0.000268625,0.000268625,0.000268625
72,69.9371,1.41733,1.97273,1.37808,0.96586,0.33333,0.4975,0.36483,1.00317,3.06413,1.05179,0.000263676,0.000263676,0.000263676
73,70.7612,1.98232,1.79826,1.44393,0.96586,0.33333,0.4975,0.36483,1.00317,3.06413,1.05179,0.00025848,0.00025848,0.00025848
74,71.6347,1.83736,2.7679,1.32751,0.96586,0.33333,0.4975,0.36483,1.00317,3.06413,1.05179,0.000253036,0.000253036,0.000253036
75,72.5749,1.57389,2.09532,1.41866,0.95962,0.33333,0.66333,0.46433,1.04341,2.96369,1.0418,0.000247345,0.000247345,0.000247345
76,73.3813,1.99453,1.95904,1.23158,0.95962,0.33333,0.66333,0.46433,1.04341,2.96369,1.0418,0.000241406,0.000241406,0.000241406
77,74.2204,2.17296,2.43948,1.40939,0.95962,0.33333,0.66333,0.46433,1.04341,2.96369,1.0418,0.00023522,0.00023522,0.00023522
78,75.1004,1.83303,1.74794,1.13339,0.9552,0.33333,0.82917,0.56383,1.15368,2.89885,1.05167,0.000228786,0.000228786,0.000228786
79,75.9289,1.24783,1.71117,1.03198,0.9552,0.33333,0.82917,0.56383,1.15368,2.89885,1.05167,0.000222105,0.000222105,0.000222105
80,76.8691,1.45106,1.94161,1.30282,0.9552,0.33333,0.82917,0.56383,1.15368,2.89885,1.05167,0.000215176,0.000215176,0.000215176
81,77.8718,1.34691,2.12549,1.33517,0.94318,0.33333,0.82917,0.597,1.1911,2.93021,1.08408,0.000208,0.000208,0.000208
82,78.7655,1.37558,2.37158,1.43273,0.94318,0.33333,0.82917,0.597,1.1911,2.93021,1.08408,0.000200576,0.000200576,0.000200576
83,79.7142,2.34228,2.92651,1.39872,0.94318,0.33333,0.82917,0.597,1.1911,2.93021,1.08408,0.000192905,0.000192905,0.000192905
84,80.7371,1.21815,2.10742,1.2869,0.93225,0.33333,0.82917,0.58042,1.1764,2.96581,1.11147,0.000184986,0.000184986,0.000184986
85,81.6381,1.6513,1.97437,1.16595,0.93225,0.33333,0.82917,0.58042,1.1764,2.96581,1.11147,0.00017682,0.00017682,0.00017682
86,82.5019,1.12163,1.60798,1.03939,0.93225,0.33333,0.82917,0.58042,1.1764,2.96581,1.11147,0.000168406,0.000168406,0.000168406
87,83.3512,1.6916,2.20122,1.35511,0.93225,0.33333,0.82917,0.58042,1.1764,2.96581,1.11147,0.000159745,0.000159745,0.000159745
88,84.2688,1.90663,2.28912,1.37892,0.94667,0.33333,0.82917,0.61358,1.15459,2.9814,1.12012,0.000150836,0.000150836,0.000150836
89,85.1352,1.60356,3.16958,0.95414,0.94667,0.33333,0.82917,0.61358,1.15459,2.9814,1.12012,0.00014168,0.00014168,0.00014168
90,86.0325,1.63529,2.15657,1.40094,0.94667,0.33333,0.82917,0.61358,1.15459,2.9814,1.12012,0.000132276,0.000132276,0.000132276
91,86.8786,0,13.014,0,0.94667,0.33333,0.82917,0.61358,1.15459,2.9814,1.12012,0.000122625,0.000122625,0.000122625
92,87.8583,2.06264,3.62638,1.4372,0.96391,0.33333,0.82917,0.61358,1.14933,2.89123,1.12187,0.000112726,0.000112726,0.000112726
93,88.8203,1.05783,1.81376,1.07304,0.96391,0.33333,0.82917,0.61358,1.14933,2.89123,1.12187,0.00010258,0.00010258,0.00010258
94,89.8825,1.02058,1.78699,1.03465,0.96391,0.33333,0.82917,0.61358,1.14933,2.89123,1.12187,9.21862e-05,9.21862e-05,9.21862e-05
95,90.8507,1.33074,2.07558,1.12447,0.96391,0.33333,0.82917,0.61358,1.14933,2.89123,1.12187,8.1545e-05,8.1545e-05,8.1545e-05
96,91.744,0,13.132,0,0.85984,0.33333,0.82917,0.63017,1.12646,2.76718,1.11674,7.06563e-05,7.06563e-05,7.06563e-05
97,92.6179,0,13.1201,0,0.85984,0.33333,0.82917,0.63017,1.12646,2.76718,1.11674,5.952e-05,5.952e-05,5.952e-05
98,93.4909,1.40639,1.75024,1.07774,0.85984,0.33333,0.82917,0.63017,1.12646,2.76718,1.11674,4.81363e-05,4.81363e-05,4.81363e-05
99,94.369,1.24021,1.77962,1.2803,0.85984,0.33333,0.82917,0.63017,1.12646,2.76718,1.11674,3.6505e-05,3.6505e-05,3.6505e-05
100,95.3214,1.24426,1.87818,1.17953,0.85657,0.33333,0.995,0.74957,1.11439,2.66877,1.11081,2.46263e-05,2.46263e-05,2.46263e-05
